INFO  - 2016-08-04 16:26:38.916; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:26:38.928; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(2)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=5 status=0 QTime=2 
INFO  - 2016-08-04 16:26:38.936; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(3)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:26:38.942; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(4)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=0 status=0 QTime=1 
INFO  - 2016-08-04 16:26:40.349; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=attrName_exact&facet.field=language&facet.field=spatial&facet.field=fileType&facet.field=fileFormat&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&facet=on&wt=json} hits=10 status=0 QTime=2 
INFO  - 2016-08-04 16:26:40.355; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:26:40.359; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:27:07.678; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(subjecttype:(1)+AND+fileFormat:(网页))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:27:07.684; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(subjecttype:(1)+AND+fileFormat:(网页))&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json&facet=on} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:27:07.691; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(subjecttype:(1)+AND+fileFormat:(网页))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:27:43.090; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(subjecttype:(1)+AND+fileFormat:(网页))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=2 status=0 QTime=1 
